IDPESSOA,PA,PB,PC,PD,PE,PF,PG,PH,PI,PJ,PK,PL,PM,PN,PO,PQ,PR,PS,PT,PU,PV,PW,PX,PY,PZ
4,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.058823529411764705,0.17647058823529413,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.11764705882352941,0.0
7,0.043478260869565216,0.0,0.17391304347826086,0.08695652173913043,0.0,0.13043478260869565,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.21739130434782608,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0
3,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0
1,0.08695652173913043,0.0,0.0,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.08695652173913043,0.0,0.0,0.043478260869565216,0.08695652173913043,0.0,0.0,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.0,0.0,0.0,0.043478260869565216,0.0,0.17391304347826086,0.0
2,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0
10,0.11538461538461539,0.0,0.0,0.15384615384615385,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.038461538461538464,0.0,0.0,0.0,0.038461538461538464,0.038461538461538464,0.11538461538461539,0.0,0.0,0.0,0.11538461538461539,0.038461538461538464,0.0,0.0,0.038461538461538464,0.038461538461538464,0.0,0.15384615384615385,0.0
6,0.0,0.0,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.2222222222222222,0.0
5,0.08,0.0,0.0,0.16,0.0,0.08,0.04,0.04,0.12,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.0,0.04,0.0,0.0,0.12,0.0
